rank,AR,lambda,aoaRoot (deg),aoaTip (deg),eta_pred,LD_pred,DMS,stage
3269,9.879399268082524,0.6046733919303804,17.114339728999674,7.487051575632826,0.3736398419659453,18.202071998710608,0.5578434380075703,refine
3270,9.180317679117081,0.601031727077437,19.217723506540004,7.563384944388072,0.4179257107301549,17.735166070692216,0.5577940399099586,refine
3271,8.732059825795991,0.8661977166274926,10.80359123045309,7.814543109032128,0.3252438665048771,17.4763711403392,0.557789019159119,coarse
3272,9.762560449480919,0.5,19.3968695661335,5.98218562575551,0.38466948572765897,18.08547306855764,0.557703810439606,refine
3273,8.472295352976355,0.8155724324265019,14.881555945617762,5.9121461378719244,0.3445354309748913,17.27253647732068,0.5576628138499135,coarse
3274,9.026294210495342,0.5,19.10968887190293,7.473811610451745,0.43214155321261216,17.58498137502583,0.5576534295047706,refine
3275,10.0,0.5,18.814057091092177,5.915095533872685,0.37029553550503674,18.236559523061235,0.5575337245600391,refine
3276,9.689430554184014,0.9076328521526567,14.974283469853672,4.001798019902976,0.26147099145339325,18.145218195045516,0.5574938963650222,coarse
3277,7.9088025331316985,0.8082888117784245,14.420850100368764,7.508612274467428,0.38753735550855495,16.81805982436841,0.5573645595050641,coarse
3278,9.032350960341496,0.9597366542550456,11.698951790301802,7.275342390099176,0.30352121963198214,17.70183361039671,0.5573502038641416,coarse
3279,9.505579003003517,0.9282966429343901,14.422577446528374,4.733430545509798,0.27271404656719433,18.025825374294556,0.5573346578459442,coarse
3280,8.70914959745759,0.7173021420593051,12.653425872153774,6.022406845499045,0.3292195864123702,17.431166345440598,0.5573054072143953,coarse
3281,7.616618142453104,0.5623035827221905,17.54717543861569,5.407448467693424,0.41826063078323006,16.494426590499554,0.5573050965471124,coarse
3282,9.777765240113343,0.6372677899542315,17.040447549049464,7.83871003797064,0.3786246421889168,18.148041266218907,0.5572382178038047,refine
3283,7.270542537454247,0.5662256990721022,15.230760124885764,7.706628684332755,0.44778947735641655,16.183188260361582,0.5572211841004466,coarse
3284,9.513531508747581,0.7506974002917345,13.734688274309534,4.044376711764214,0.2745330146050361,18.005878178604057,0.5572185697651628,coarse
3285,10.0,0.5512530486806868,19.8761425434361,5.566121626245703,0.36816987052591754,18.258138484581057,0.5571981022835559,refine
3286,9.615746568427767,0.7040293654504993,18.754200558026263,7.527441473357563,0.3867596951357757,18.062192243674236,0.5571961713856279,refine
3287,9.026012190909242,0.8298462392705592,14.54248660621965,4.96650171282991,0.3049958598666759,17.685062915046938,0.5571702946466006,coarse
3288,9.648730266360635,0.6843679407596988,18.602025316669486,7.451189921950809,0.3852064364613472,18.078483925257977,0.5571636444653055,refine
3289,9.459536970295884,0.6441856831472889,18.715641717165266,7.5156196283366,0.39824221857996167,17.941055944201718,0.5571524653531479,refine
3290,10.0,0.6093843127186872,17.471482616800287,7.121813963705718,0.366112269425669,18.279693682972432,0.557144294136279,refine
3291,9.131621096686896,0.5678929128132969,13.013518508642829,4.223309351220727,0.30462941750219064,17.68854682309206,0.5571171725935928,coarse
3292,9.854077502006621,0.6670228716448127,18.187902456838422,7.248034828332434,0.3730891291060039,18.20603423260718,0.5570949022137409,refine
3293,8.478674103879445,0.6305860420082954,11.067998229234657,6.94415484502042,0.34813480515688267,17.230448317309477,0.5570586046543511,coarse
3294,7.538017511959712,0.9478360423546214,19.846025020724227,6.4698768361929915,0.41623976046816863,16.51380418535543,0.5570356667893923,coarse
3295,8.737223278719046,0.6718355406423835,15.215263789521229,4.345055812791365,0.32821524319126094,17.439396561732863,0.5569711128170126,coarse
3296,9.553461812251362,0.8081286458012473,12.5020811043712,4.944834491648449,0.270778701138372,18.0436112308031,0.5569661903285335,coarse
